name,category_ids,sku,regular_price,stock,image_id/gallery_image_ids,descripcion
SALSA SOYA SUAVE GOU. 24x165cc,ADEREZOS Y SALSAS,0201583,1840,15,https://www.cencocal.cl/imagenes/0201583.jpg,
CORAZON MULTICOLOR GOUR 25x80g,REPOSTERIA,0201584,1440,6,https://www.cencocal.cl/imagenes/0201584.jpg,
ESTRELLA MULTICOLOR GOUR 25x80,REPOSTERIA,0201585,1440,41,https://www.cencocal.cl/imagenes/0201585.jpg,
DECORACION GOURMET 25x100g,REPOSTERIA,0201587,1250,37,https://www.cencocal.cl/imagenes/0201587.jpg,
CHOCO. GRANULADO GOUR. 25x100g,REPOSTERIA,0201588,1250,20,https://www.cencocal.cl/imagenes/0201588.jpg,
MOSTACILLA GOURMET 25x100g,REPOSTERIA,0201589,1250,27,https://www.cencocal.cl/imagenes/0201589.jpg,
ALOE VERA OYE MANGO 12x1.5l,AGUAS MINERALES,0211016,2720,25,https://www.cencocal.cl/imagenes/0211016.jpg,
GALL. NIZA 24x150gr.,GALLETAS,0300038,840,113,https://www.cencocal.cl/imagenes/0300038.jpg,
GALL. KUKY CLASICA 30X120,GALLETAS,0300098,1140,182,https://www.cencocal.cl/imagenes/0300098.jpg,
GALL. SODA FAMILIAR 20X180,GALLETAS,0300110,1050,144,https://www.cencocal.cl/imagenes/0300110.jpg,
GALL. SODA FAM. LIGHT 20X180,GALLETAS,0300128,1050,62,https://www.cencocal.cl/imagenes/0300128.jpg,
GALL. OBLEA BOCADO 24X140,GALLETAS,030016K,1380,306,https://www.cencocal.cl/imagenes/030016K.jpg,
GALL. COCO 30X120,GALLETAS,0300179,840,85,https://www.cencocal.cl/imagenes/0300179.jpg,
GALL. MINI VINO 42x40gr,GALLETAS,0300195,11640,2,https://www.cencocal.cl/imagenes/0300195.jpg,
SUPER OCHO 4x24x25gr.,GALLETAS,0300241,7810,20,https://www.cencocal.cl/imagenes/0300241.jpg,
MALLA SUPER OCHO 12u,GALLETAS,0300250,3900,21,https://www.cencocal.cl/imagenes/0300250.jpg,
GALL. TRITON CHOCOLATE 30X126,GALLETAS,0300284,960,6,https://www.cencocal.cl/imagenes/0300284.jpg,
GALL. TRITON VAINILLA 30x126g.,GALLETAS,0300314,960,39,https://www.cencocal.cl/imagenes/0300314.jpg,
GALL. TRITON NARANJA 30X126,GALLETAS,0300322,960,4,https://www.cencocal.cl/imagenes/0300322.jpg,
GALL. TRITON LEMON 30x126gr,GALLETAS,0300323,960,1,https://www.cencocal.cl/imagenes/0300323.jpg,
GALL. MANTEQUILLA 24X140,GALLETAS,0300551,840,93,https://www.cencocal.cl/imagenes/0300551.jpg,
GALL. MINI GRILL 42X35 GR.,GALLETAS,0300578,13940,1,https://www.cencocal.cl/imagenes/0300578.jpg,
GALL. MINI MOROCHA 24x50gr,GALLETAS,0300594,8770,2,https://www.cencocal.cl/imagenes/0300594.jpg,
CHOC. PRESTIGIO 12x16x35gr,CHOCOLATES,030064K,10920,2,https://www.cencocal.cl/imagenes/030064K.jpg,
GALL. AGUA MCKAY 20x180gr,GALLETAS,0300659,940,120,https://www.cencocal.cl/imagenes/0300659.jpg,
GALL. MINI KUKY 42X40 GR,GALLETAS,0300683,16640,2,https://www.cencocal.cl/imagenes/0300683.jpg,
MALLA MINI KUKY x6,GALLETAS,0300684,2380,0,https://www.cencocal.cl/imagenes/0300684.jpg,
GALL. OBLEA CHIRIMOYA 24X140,GALLETAS,0300691,1380,6,https://www.cencocal.cl/imagenes/0300691.jpg,
GALL. OBLEA FRUTILLA 24X140,GALLETAS,0300705,1380,251,https://www.cencocal.cl/imagenes/0300705.jpg,
GALL. OBLEA HELADO 24X140,GALLETAS,0300713,1380,287,https://www.cencocal.cl/imagenes/0300713.jpg,
GALL. TRITON PACK 10x3x120gr,GALLETAS,0300853,2690,2,https://www.cencocal.cl/imagenes/0300853.jpg,
GALL. KUKY CHOCOLATE 30X120,GALLETAS,0301272,1140,211,https://www.cencocal.cl/imagenes/0301272.jpg,
CAPRI FRUTILLA FONDANT 6x24x30,CHOCOLATES,0302224,410,14,https://www.cencocal.cl/imagenes/0302224.jpg,
CAPRI ALMENDRA FONDANT 6x24x30,CHOCOLATES,0302225,410,0,https://www.cencocal.cl/imagenes/0302225.jpg,
CHOC. SAHNE NUSS 8x30ux30gr,CHOCOLATES,0303003,790,11,https://www.cencocal.cl/imagenes/0303003.jpg,
CHOC. SAHNENUSS 21x160gr.,CHOCOLATES,0303057,3570,6,https://www.cencocal.cl/imagenes/0303057.jpg,
CHOC. SAHNE NUSS BIT. 15x250,CHOCOLATES,0303109,5950,1,https://www.cencocal.cl/imagenes/0303109.jpg,
CHOC. SAHNENUSS 15X250,CHOCOLATES,030310K,5640,7,https://www.cencocal.cl/imagenes/030310K.jpg,
CHOC. TRENCITO GDE. 14X150,CHOCOLATES,0303577,3010,4,https://www.cencocal.cl/imagenes/0303577.jpg,
LUCCHETTI N1 LARGO 25x400gr,FIDEOS,0400017,690,96,https://www.cencocal.cl/imagenes/0400017.jpg,
LUCCHETTI N 5 25X400,FIDEOS,0400033,690,14,https://www.cencocal.cl/imagenes/0400033.jpg,
LUCCHETTI # 5 3 SABORES 25X400,FIDEOS,0400106,1040,30,https://www.cencocal.cl/imagenes/0400106.jpg,
LUCCHETTI #48 3 SABORES 30X400,FIDEOS,0400114,1040,35,https://www.cencocal.cl/imagenes/0400114.jpg,
LUCCHE. ESPIRALES 3SAB 30x400g,FIDEOS,0400122,1040,35,https://www.cencocal.cl/imagenes/0400122.jpg,
LUCCHETTI N 77 25X400,FIDEOS,0400211,690,26,https://www.cencocal.cl/imagenes/0400211.jpg,
LUCCHETTI N 78 25X400,FIDEOS,0400220,690,33,https://www.cencocal.cl/imagenes/0400220.jpg,
LUCCHETTI SEMOLA 40X250,NUTRINAS-SEMOLAS-MAIZENAS,0400262,807,151,https://www.cencocal.cl/imagenes/0400262.jpg,
SOPA NATUR. POSTA CABE. 18x55g,INSTANTANEOS Y SOPAS,0400301,410,90,https://www.cencocal.cl/imagenes/0400301.jpg,
SOPA NATUR. POLLO SEM. 18x55g,INSTANTANEOS Y SOPAS,0400303,566,9,https://www.cencocal.cl/imagenes/0400303.jpg,
SOPA NATUR. POLLO FID. 18x55g,INSTANTANEOS Y SOPAS,040030K,410,112,https://www.cencocal.cl/imagenes/040030K.jpg,
SOPA NATUR. POLLO ARR. 18x55g,INSTANTANEOS Y SOPAS,0400319,410,48,https://www.cencocal.cl/imagenes/0400319.jpg,
CREMA NATUR. ESPARRAGO 18x60g,INSTANTANEOS Y SOPAS,0400335,410,74,https://www.cencocal.cl/imagenes/0400335.jpg,
CREMA NATUR. CHOCLO 18x60g,INSTANTANEOS Y SOPAS,0400343,410,59,https://www.cencocal.cl/imagenes/0400343.jpg,
CREMA NATUR. CHAMPINON 18x60g,INSTANTANEOS Y SOPAS,0400351,410,45,https://www.cencocal.cl/imagenes/0400351.jpg,
SOPA NATUR. CARACOLITOS 18x55g,INSTANTANEOS Y SOPAS,0400360,410,57,https://www.cencocal.cl/imagenes/0400360.jpg,
CREMA NATUR. POLLO 18x60g,INSTANTANEOS Y SOPAS,0400386,410,80,https://www.cencocal.cl/imagenes/0400386.jpg,
TALLIANI SPAGHETTI #5 25X400,FIDEOS,0403008,1600,51,https://www.cencocal.cl/imagenes/0403008.jpg,
TALLIANI CARACOL #36 30X400,FIDEOS,0403105,1600,29,https://www.cencocal.cl/imagenes/0403105.jpg,
TALIANI RIGATI #48 30X400,FIDEOS,0403156,1600,30,https://www.cencocal.cl/imagenes/0403156.jpg,
TALLIANI CABELLO #51 30X400,FIDEOS,0403253,1600,32,https://www.cencocal.cl/imagenes/0403253.jpg,
TALLIANI ESPIRAL #56 30X400,FIDEOS,0403300,1600,322,https://www.cencocal.cl/imagenes/0403300.jpg,
TALLIANI TALLARIN #77 25X400.,FIDEOS,040335K,1600,92,https://www.cencocal.cl/imagenes/040335K.jpg,
TALLIANI CORBATAS #88 30X400.,FIDEOS,0403555,1600,133,https://www.cencocal.cl/imagenes/0403555.jpg,
TALLIANI NIDOS FETUC.#90 20X400,FIDEOS,0403601,2090,30,https://www.cencocal.cl/imagenes/0403601.jpg,
LUCCHETTI DEDALITOS #31 48X250,FIDEOS,0405434,780,160,https://www.cencocal.cl/imagenes/0405434.jpg,
LUCCHETTI QUIFAROS N.33 30X400,FIDEOS,0405507,690,242,https://www.cencocal.cl/imagenes/0405507.jpg,
LUCCHETTI CARACOL #36 30x400gr,FIDEOS,0405558,690,205,https://www.cencocal.cl/imagenes/0405558.jpg,
LUCCHETTI CARACOLI.N35 48X250,FIDEOS,0405574,780,110,https://www.cencocal.cl/imagenes/0405574.jpg,
LUCCHETTI MOSTACHOLI N.42 30X400,FIDEOS,0405604,690,13,https://www.cencocal.cl/imagenes/0405604.jpg,
LUCCHETTI CANUTOS N.47 30X400,FIDEOS,0405655,690,41,https://www.cencocal.cl/imagenes/0405655.jpg,
LUCCHETTI RIGATTI N.48 30X400,FIDEOS,0405671,690,21,https://www.cencocal.cl/imagenes/0405671.jpg,
LUCCHETTI CABELLITOS N.51 30X400,FIDEOS,0405701,690,70,https://www.cencocal.cl/imagenes/0405701.jpg,
LUCCHETTI ESPIRALES N.56 30X400,FIDEOS,0405752,690,257,https://www.cencocal.cl/imagenes/0405752.jpg,
LUCCHETTI MARIPOSA N.81 48X250,FIDEOS,0406007,780,107,https://www.cencocal.cl/imagenes/0406007.jpg,
LUCCHETTI CORBATITAS N.83 30X400,FIDEOS,0406058,690,9,https://www.cencocal.cl/imagenes/0406058.jpg,
LUCCHETTI CORBATAS N88 30x400gr,FIDEOS,0406104,690,32,https://www.cencocal.cl/imagenes/0406104.jpg,
SALSA LUCCHETTI ITALI. 24x200g,SALSA DE TOMATE,041520K,580,195,https://www.cencocal.cl/imagenes/041520K.jpg,
CAROZZI N 1 CABEL/ANGEL 30x400,FIDEOS,0500011,830,91,https://www.cencocal.cl/imagenes/0500011.jpg,
CAROZZI N 3 SPAGHETTINI 25x400,FIDEOS,0500038,830,88,https://www.cencocal.cl/imagenes/0500038.jpg,
CAROZZI N 5 SPAGHETTI 25x400,FIDEOS,0500046,830,346,https://www.cencocal.cl/imagenes/0500046.jpg,
CAROZZI N 36 QUIFARO 30x400,FIDEOS,0500062,830,126,https://www.cencocal.cl/imagenes/0500062.jpg,
CAROZZI N 46 MOSTACCIOL 30x400,FIDEOS,050007K,830,129,https://www.cencocal.cl/imagenes/050007K.jpg,
CAROZZI N 48 RIGATONI 30x400,FIDEOS,0500089,830,22,https://www.cencocal.cl/imagenes/0500089.jpg,
CAROZZI PANTRUCAS 30x250gr,FIDEOS,0500090,805,67,https://www.cencocal.cl/imagenes/0500090.jpg,
CAROZZI N 49 ESPIRAL 30x400,FIDEOS,0500097,830,187,https://www.cencocal.cl/imagenes/0500097.jpg,
CAROZZI N 55 CARACO/RAY 30x400,FIDEOS,0500119,830,84,https://www.cencocal.cl/imagenes/0500119.jpg,
CAROZZI #60 OJO DE DIUCA 48X250,FIDEOS,0500135,805,35,https://www.cencocal.cl/imagenes/0500135.jpg,
CAROZZI #64 ALFABETO 48 X 250,FIDEOS,0500151,805,83,https://www.cencocal.cl/imagenes/0500151.jpg,
CAROZZI #73 GRANIZO 48 X 250,FIDEOS,0500178,805,133,https://www.cencocal.cl/imagenes/0500178.jpg,
CAROZZI N 87 TALLARIN 25x400,FIDEOS,0500216,830,121,https://www.cencocal.cl/imagenes/0500216.jpg,
CAROZZI N 88 FETUCCINE 25x400,FIDEOS,0500224,830,111,https://www.cencocal.cl/imagenes/0500224.jpg,
CAROZZI #93 MARIPOSA 48x250g,FIDEOS,0500233,805,89,https://www.cencocal.cl/imagenes/0500233.jpg,
CAROZZI N 83 CORBATITAS 30x400,FIDEOS,0500234,830,54,https://www.cencocal.cl/imagenes/0500234.jpg,
CAROZZI N 80 CORBATA 30x400,FIDEOS,0500237,830,62,https://www.cencocal.cl/imagenes/0500237.jpg,
CAROZZI PACK #5 5X5X400+1POMAROLA,FIDEOS,0500241,4280,11,https://www.cencocal.cl/imagenes/0500241.jpg,
CAROZZI PACK #80 5X5X400+1POMAROLA,FIDEOS,0500242,4280,6,https://www.cencocal.cl/imagenes/0500242.jpg,
CAROZZI PACK #49 5X5X400+1POMAROLA,FIDEOS,0500243,4280,6,https://www.cencocal.cl/imagenes/0500243.jpg,
CAROZZI PACK #87 5X5X400+1POMAROLA,FIDEOS,0500245,4280,12,https://www.cencocal.cl/imagenes/0500245.jpg,
CAROZZI NUTRINA 20X500,NUTRINAS-SEMOLAS-MAIZENAS,0500267,1689,35,https://www.cencocal.cl/imagenes/0500267.jpg,
CAROZZI SEMOLA 20X500,NUTRINAS-SEMOLAS-MAIZENAS,0500283,1689,69,https://www.cencocal.cl/imagenes/0500283.jpg,
CAROZZI SEMOLA 40X250,NUTRINAS-SEMOLAS-MAIZENAS,0500291,940,0,https://www.cencocal.cl/imagenes/0500291.jpg,
CAROZZI N 1 CAPELLINI 25x400,FIDEOS,0500321,830,52,https://www.cencocal.cl/imagenes/0500321.jpg,
CAROZZI TORTELLINI QUESO 12X400gr.,FIDEOS,0500349,2811,8,https://www.cencocal.cl/imagenes/0500349.jpg,
CARICIA JALEA NARANJA 10x1k,POSTRES PARA PREPARAR,0500357,5350,8,https://www.cencocal.cl/imagenes/0500357.jpg,
CARICIA JALEA PINA 10x1k,POSTRES PARA PREPARAR,0500358,5350,11,https://www.cencocal.cl/imagenes/0500358.jpg,
CARICIA JALEA FRAMBUEZA 10x1k,POSTRES PARA PREPARAR,0500359,5350,10,https://www.cencocal.cl/imagenes/0500359.jpg,
CARICIA FLAN MANJAR 10x1k,POSTRES PARA PREPARAR,0500360,4440,0,https://www.cencocal.cl/imagenes/0500360.jpg,
CARICIA FLAN CHOCOLATE 10x1K,POSTRES PARA PREPARAR,0500361,3520,0,https://www.cencocal.cl/imagenes/0500361.jpg,
CARICIA FLAN VAINILLA 10x1K,POSTRES PARA PREPARAR,0500362,3520,0,https://www.cencocal.cl/imagenes/0500362.jpg,
CARICIA FLAN LUCUMA 10x1k,POSTRES PARA PREPARAR,0500363,3520,10,https://www.cencocal.cl/imagenes/0500363.jpg,
SAN REMO CABELLO 30 X 400.,FIDEOS,050038K,560,432,https://www.cencocal.cl/imagenes/050038K.jpg,
SAN REMO SPAGHETTI 25X400,FIDEOS,0500399,560,2375,https://www.cencocal.cl/imagenes/0500399.jpg,
JUMEX MANGO 24x335cc,JUGOS Y REFRESCOS,0500400,850,15,https://www.cencocal.cl/imagenes/0500400.jpg,
JUMEX DURAZNO 24x335cc,JUGOS Y REFRESCOS,0500401,850,37,https://www.cencocal.cl/imagenes/0500401.jpg,
SAN REMO ESPIRALES 30 X 400.,FIDEOS,0500402,560,955,https://www.cencocal.cl/imagenes/0500402.jpg,
JUMEX PERA 24x335cc,JUGOS Y REFRESCOS,0500403,850,28,https://www.cencocal.cl/imagenes/0500403.jpg,
JUMEX MANZANA 24x335cc,JUGOS Y REFRESCOS,0500404,850,17,https://www.cencocal.cl/imagenes/0500404.jpg,
JUMEX GUAYABA 24x335cc,JUGOS Y REFRESCOS,0500405,850,50,https://www.cencocal.cl/imagenes/0500405.jpg,
JUMEX PINA 24x335cc,JUGOS Y REFRESCOS,0500406,850,23,https://www.cencocal.cl/imagenes/0500406.jpg,
SAN REMO TALLARIN 25X400,FIDEOS,050041K,560,556,https://www.cencocal.cl/imagenes/050041K.jpg,
SAN REMO MOSTACCIOLI 30X400,FIDEOS,0500429,560,1018,https://www.cencocal.cl/imagenes/0500429.jpg,
SAN REMO CORBATA 30x400g,FIDEOS,0500437,560,540,https://www.cencocal.cl/imagenes/0500437.jpg,
JUMEX COCO PINA 24x335cc,JUGOS Y REFRESCOS,0500450,850,19,https://www.cencocal.cl/imagenes/0500450.jpg,
CAROZZI CARACOQUESOS 24 X 296,FIDEOS,0500585,1895,141,https://www.cencocal.cl/imagenes/0500585.jpg,
