name;category_ids;sku;regular_price;stock;image_id/gallery_image_ids;descripcion;ppum
YOG. ALERCES FRAMBUESA 48x120g;YOGHURT Y POSTRES PREPARADOS;1460115;200;18;https://www.cencocal.cl/imagenes/1460115.jpg;;$1000 x KG
YOG. ALERCES DAMASCO 48x120g;YOGHURT Y POSTRES PREPARADOS;1460116;200;9;https://www.cencocal.cl/imagenes/1460116.jpg;;$1000 x KG
YOG. ALERCES PINA 48x120g;YOGHURT Y POSTRES PREPARADOS;1460117;200;7;https://www.cencocal.cl/imagenes/1460117.jpg;;$1000 x KG
YOG. ALERCES PLATANO 48x120g;YOGHURT Y POSTRES PREPARADOS;1460118;200;31;https://www.cencocal.cl/imagenes/1460118.jpg;;$1000 x KG
YOG. ALERCES MORA 48x120g;YOGHURT Y POSTRES PREPARADOS;1460119;200;43;https://www.cencocal.cl/imagenes/1460119.jpg;;$1000 x KG
YOG. ALERCES VAINILLA 48x120g;YOGHURT Y POSTRES PREPARADOS;1460120;200;5;https://www.cencocal.cl/imagenes/1460120.jpg;;$1000 x KG
JALEA PINA SOPROLE 36x100g;YOGHURT Y POSTRES PREPARADOS;1460121;316;53;https://www.cencocal.cl/imagenes/1460121.jpg;;$1000 x KG
JALEA NARANJA SOPROLE 36x100g;YOGHURT Y POSTRES PREPARADOS;1460122;316;0;https://www.cencocal.cl/imagenes/1460122.jpg;;$1000 x KG
JALEA FRAMBUESA SOPROLE 36x100;YOGHURT Y POSTRES PREPARADOS;1460123;316;43;https://www.cencocal.cl/imagenes/1460123.jpg;;$1000 x KG
JALEA GUINDA SOPROLE 36x100g;YOGHURT Y POSTRES PREPARADOS;1460124;316;41;https://www.cencocal.cl/imagenes/1460124.jpg;;$1000 x KG
PACK YOG.ALERC.(3SAB)4x12x120g;YOGHURT Y POSTRES PREPARADOS;1460125;2320;27;https://www.cencocal.cl/imagenes/1460125.jpg;;$1000 x KG
PACK. YOG.ALEC.(4SAB)4x12x120g;YOGHURT Y POSTRES PREPARADOS;1460126;2320;78;https://www.cencocal.cl/imagenes/1460126.jpg;;$1000 x KG
YOG. PACK COLUN S/A 4x12x120g;YOGHURT Y POSTRES PREPARADOS;1460127;2840;22;https://www.cencocal.cl/imagenes/1460127.jpg;;$1000 x KG
YOGHURT BATIDO FRUT SOP 36x120;YOGHURT Y POSTRES PREPARADOS;1460141;296;19;https://www.cencocal.cl/imagenes/1460141.jpg;;$1000 x KG
YOGHURT BATIDO DMCO SOP 36x120;YOGHURT Y POSTRES PREPARADOS;1460142;296;48;https://www.cencocal.cl/imagenes/1460142.jpg;;$1000 x KG
