name,category_ids,sku,regular_price,stock,image_id/gallery_image_ids,descripcion,PPUM
LUCCHETTI CABELLITOS N.51 30X400,FIDEOS,0405701,790,52,https://www.cencocal.cl/imagenes/0405701.jpg,,$1975 POR KG
LUCCHETTI ESPIRALES N.56 30X400,FIDEOS,0405752,790,3,https://www.cencocal.cl/imagenes/0405752.jpg,,$1975 POR KG
LUCCHETTI MARIPOSA N.81 48X250,FIDEOS,0406007,816,27,https://www.cencocal.cl/imagenes/0406007.jpg,,$3264 POR KG
LUCCHETTI CORBATITAS N.83 30X400,FIDEOS,0406058,790,32,https://www.cencocal.cl/imagenes/0406058.jpg,,$1975 POR KG
LUCCHETTI CORBATAS N88 30x400gr,FIDEOS,0406104,790,26,https://www.cencocal.cl/imagenes/0406104.jpg,,$1975 POR KG
SALSA LUCCHETTI ITALI. 24x200g,SALSA DE TOMATE,041520K,590,41,https://www.cencocal.cl/imagenes/041520K.jpg,,$2950 POR KG
CAROZZI N 1 CABEL/ANGEL 30x400,FIDEOS,0500011,830,45,https://www.cencocal.cl/imagenes/0500011.jpg,,$2075 POR LT
CAROZZI N 3 SPAGHETTINI 25x400,FIDEOS,0500038,830,183,https://www.cencocal.cl/imagenes/0500038.jpg,,$2075 POR KG
CAROZZI N 5 SPAGHETTI 25x400,FIDEOS,0500046,830,167,https://www.cencocal.cl/imagenes/0500046.jpg,,$2075 POR KG
CAROZZI N 36 QUIFARO 30x400,FIDEOS,0500062,830,57,https://www.cencocal.cl/imagenes/0500062.jpg,,$2075 POR KG
CAROZZI N 46 MOSTACCIOL 30x400,FIDEOS,050007K,830,1,https://www.cencocal.cl/imagenes/050007K.jpg,,$2075 POR KG
CAROZZI N 48 RIGATONI 30x400,FIDEOS,0500089,830,6,https://www.cencocal.cl/imagenes/0500089.jpg,,$2075 POR KG
CAROZZI PANTRUCAS 30x250gr,FIDEOS,0500090,847,32,https://www.cencocal.cl/imagenes/0500090.jpg,,$3388 POR KG
CAROZZI N 49 ESPIRAL 30x400,FIDEOS,0500097,830,54,https://www.cencocal.cl/imagenes/0500097.jpg,,$2075 POR KG
CAROZZI N 55 CARACO/RAY 30x400,FIDEOS,0500119,830,9,https://www.cencocal.cl/imagenes/0500119.jpg,,$2075 POR KG
CAROZZI #60 OJO DE DIUCA 48X250,FIDEOS,0500135,847,16,https://www.cencocal.cl/imagenes/0500135.jpg,,$3388 POR KG
CAROZZI #64 ALFABETO 48 X 250,FIDEOS,0500151,847,33,https://www.cencocal.cl/imagenes/0500151.jpg,,$3388 POR KG
CAROZZI #73 GRANIZO 48 X 250,FIDEOS,0500178,847,325,https://www.cencocal.cl/imagenes/0500178.jpg,,$3388 POR KG
CAROZZI N 87 TALLARIN 25x400,FIDEOS,0500216,830,20,https://www.cencocal.cl/imagenes/0500216.jpg,,$2075 POR KG
CAROZZI N 88 FETUCCINE 25x400,FIDEOS,0500224,830,92,https://www.cencocal.cl/imagenes/0500224.jpg,,$2075 POR KG
CAROZZI #93 MARIPOSA 48x250g,FIDEOS,0500233,847,172,https://www.cencocal.cl/imagenes/0500233.jpg,,$3388 POR KG
CAROZZI N 83 CORBATITAS 30x400,FIDEOS,0500234,830,109,https://www.cencocal.cl/imagenes/0500234.jpg,,$2075 POR KG
CAROZZI N 80 CORBATA 30x400,FIDEOS,0500237,830,2,https://www.cencocal.cl/imagenes/0500237.jpg,,$2075 POR KG
CAROZZI PACK #5 5X5X400+1POMAROLA,FIDEOS,0500241,4380,0,https://www.cencocal.cl/imagenes/0500241.jpg,,$10950 POR KG
CAROZZI PACK #80 5X5X400+1POMAROLA,FIDEOS,0500242,4380,0,https://www.cencocal.cl/imagenes/0500242.jpg,,$10950 POR KG
CAROZZI PACK #49 5X5X400+1POMAROLA,FIDEOS,0500243,4380,0,https://www.cencocal.cl/imagenes/0500243.jpg,,$10950 POR KG
CAROZZI PACK #87 5X5X400+1POMAROLA,FIDEOS,0500245,4380,0,https://www.cencocal.cl/imagenes/0500245.jpg,,$10950 POR KG
CAROZZI NUTRINA 20X500,NUTRINAS-SEMOLAS-MAIZENAS,0500267,1797,15,https://www.cencocal.cl/imagenes/0500267.jpg,,$3594 POR KG
CAROZZI SEMOLA 20X500,NUTRINAS-SEMOLAS-MAIZENAS,0500283,1797,47,https://www.cencocal.cl/imagenes/0500283.jpg,,$3594 POR KG
CAROZZI SEMOLA 40X250,NUTRINAS-SEMOLAS-MAIZENAS,0500291,989,0,https://www.cencocal.cl/imagenes/0500291.jpg,,$3956 POR KG
CAROZZI N 1 CAPELLINI 25x400,FIDEOS,0500321,830,82,https://www.cencocal.cl/imagenes/0500321.jpg,,$2075 POR KG
CAROZZI TORTELLINI QUESO 12X400gr.,FIDEOS,0500349,2990,38,https://www.cencocal.cl/imagenes/0500349.jpg,,$7475 POR KG
CARICIA JALEA NARANJA 10x1k,POSTRES PARA PREPARAR,0500357,5630,1,https://www.cencocal.cl/imagenes/0500357.jpg,,$5630 POR KG
CARICIA JALEA PINA 10x1k,POSTRES PARA PREPARAR,0500358,5630,6,https://www.cencocal.cl/imagenes/0500358.jpg,,$5630 POR KG
CARICIA JALEA FRAMBUEZA 10x1k,POSTRES PARA PREPARAR,0500359,5630,11,https://www.cencocal.cl/imagenes/0500359.jpg,,$5630 POR KG
CARICIA FLAN MANJAR 10x1k,POSTRES PARA PREPARAR,0500360,4677,11,https://www.cencocal.cl/imagenes/0500360.jpg,,$4677 POR KG
CARICIA FLAN CHOCOLATE 10x1K,POSTRES PARA PREPARAR,0500361,3703,10,https://www.cencocal.cl/imagenes/0500361.jpg,,$3703 POR KG
CARICIA FLAN VAINILLA 10x1K,POSTRES PARA PREPARAR,0500362,3703,0,https://www.cencocal.cl/imagenes/0500362.jpg,,$3703 POR KG
CARICIA FLAN LUCUMA 10x1k,POSTRES PARA PREPARAR,0500363,3703,10,https://www.cencocal.cl/imagenes/0500363.jpg,,$3703 POR KG
SAN REMO CABELLO 30 X 400.,FIDEOS,050038K,580,34,https://www.cencocal.cl/imagenes/050038K.jpg,,$1450 POR KG
SAN REMO SPAGHETTI 25X400,FIDEOS,0500399,580,1395,https://www.cencocal.cl/imagenes/0500399.jpg,,$1450 POR KG
JUMEX MANGO 24x335cc,JUGOS Y REFRESCOS,0500400,893,59,https://www.cencocal.cl/imagenes/0500400.jpg,,$2666 POR LT
JUMEX DURAZNO 24x335cc,JUGOS Y REFRESCOS,0500401,893,51,https://www.cencocal.cl/imagenes/0500401.jpg,,$2666 POR LT
SAN REMO ESPIRALES 30 X 400.,FIDEOS,0500402,580,998,https://www.cencocal.cl/imagenes/0500402.jpg,,$1450 POR KG
JUMEX PERA 24x335cc,JUGOS Y REFRESCOS,0500403,893,38,https://www.cencocal.cl/imagenes/0500403.jpg,,$2666 POR LT
JUMEX MANZANA 24x335cc,JUGOS Y REFRESCOS,0500404,893,63,https://www.cencocal.cl/imagenes/0500404.jpg,,$2666 POR LT
JUMEX GUAYABA 24x335cc,JUGOS Y REFRESCOS,0500405,893,52,https://www.cencocal.cl/imagenes/0500405.jpg,,$2666 POR LT
JUMEX PINA 24x335cc,JUGOS Y REFRESCOS,0500406,893,41,https://www.cencocal.cl/imagenes/0500406.jpg,,$2666 POR LT
SAN REMO TALLARIN 25X400,FIDEOS,050041K,580,664,https://www.cencocal.cl/imagenes/050041K.jpg,,$1450 POR KG
SAN REMO MOSTACCIOLI 30X400,FIDEOS,0500429,580,614,https://www.cencocal.cl/imagenes/0500429.jpg,,$1450 POR KG
SAN REMO CORBATA 30x400g,FIDEOS,0500437,580,102,https://www.cencocal.cl/imagenes/0500437.jpg,,$1450 POR KG
JUMEX COCO PINA 24x335cc,JUGOS Y REFRESCOS,0500450,898,24,https://www.cencocal.cl/imagenes/0500450.jpg,,$2681 POR LT
CAROZZI CARACOQUESOS 24 X 296,FIDEOS,0500585,1994,4,https://www.cencocal.cl/imagenes/0500585.jpg,,$6736 POR KG
CAROZZI LASANAS * 11 10 X 400,FIDEOS,0500917,2719,3,https://www.cencocal.cl/imagenes/0500917.jpg,,$6798 POR KG
CAROZZI RAVIOLI CARNE 12X400gr.,FIDEOS,0500927,2876,43,https://www.cencocal.cl/imagenes/0500927.jpg,,$7190 POR KG
NECTAR SPRIM PACK NJA 8x3x190,JUGOS Y REFRESCOS,0501869,230,78,https://www.cencocal.cl/imagenes/0501869.jpg,,$1211 POR LT
NECTAR SPRIM PACK PINA 8x3x190,JUGOS Y REFRESCOS,0501872,230,284,https://www.cencocal.cl/imagenes/0501872.jpg,,$1211 POR LT
NECTAR SPRIM PACK DZNO 8x3x190,JUGOS Y REFRESCOS,0501873,230,48,https://www.cencocal.cl/imagenes/0501873.jpg,,$1211 POR LT
NECTAR SPRIM SLIM BERR 8x3x190,JUGOS Y REFRESCOS,0501874,230,19,https://www.cencocal.cl/imagenes/0501874.jpg,,$1211 POR LT
NECTAR SPRIM SLIM MANZ 8x3x190,JUGOS Y REFRESCOS,0501875,230,77,https://www.cencocal.cl/imagenes/0501875.jpg,,$1211 POR LT
REF. VIVO DURAZNO 8x10x7gr,JUGOS Y REFRESCOS,0507806,224,81,https://www.cencocal.cl/imagenes/0507806.jpg,,$32000 POR KG
REF. VIVO MANZANA 8x10x7gr,JUGOS Y REFRESCOS,0507903,224,200,https://www.cencocal.cl/imagenes/0507903.jpg,,$32000 POR KG
REF. VIVO PINA 8x10x7gr,JUGOS Y REFRESCOS,0507911,224,211,https://www.cencocal.cl/imagenes/0507911.jpg,,$32000 POR KG
NECTAR VIVO NARAN PACK 8x3x190,JUGOS Y REFRESCOS,0507914,1153,35,https://www.cencocal.cl/imagenes/0507914.jpg,,$6068 POR LT
REF. VIVO LIMA LIMON 8x10x7gr,JUGOS Y REFRESCOS,0507920,224,266,https://www.cencocal.cl/imagenes/0507920.jpg,,$32000 POR KG
REF. VIVO FRUTILLA 8x10x7gr,JUGOS Y REFRESCOS,0507921,224,160,https://www.cencocal.cl/imagenes/0507921.jpg,,$32000 POR KG
